id,name,dept,salary,tax
294,Smith,4,29400,2940
295,White,2,29500,2939
296,Thompson,1,29600,2960
297,Davis,4,29700,2970
298,Jones,5,29800,2980
299,Jackson,3,29900,2990
300,Davis,1,30000,3000
301,Harris,1,30100,3010
302,Williams,5,30200,3020
303,Davis,2,30300,3030
304,Moore,1,30400,3040
305,Davis,2,30500,3050
306,Martin,5,30600,3060
307,Anderson,4,30700,3070
308,Martinez,3,30800,3080
309,Martinez,0,30900,3090
310,Wilson,4,31000,3100
311,Anderson,4,31100,3110
312,Johnson,3,31200,3120
313,Jones,3,31300,3130
314,Thomas,1,31400,3140
315,Wilson,4,31500,3150
316,Smith,0,31600,3160
317,Jones,2,31700,3170
318,Wilson,5,31800,3180
319,Taylor,5,31900,3190
320,Thomas,4,32000,3189
321,Moore,2,32100,3210
322,Anderson,3,32200,3220
323,Brown,2,32300,3230
324,Thompson,5,32400,3240
325,Johnson,4,32500,3250
326,Johnson,1,32600,3260
327,Miller,4,32700,3270
328,Wilson,2,32800,3280
329,Taylor,3,32900,3290
330,Jones,2,33000,3300
331,Johnson,1,33100,3310
332,Thompson,2,33200,3320
333,White,4,33300,3330
334,Wilson,2,33400,3340
335,Miller,2,33500,3350
336,Johnson,5,33600,3360
337,White,1,33700,3370
338,Taylor,5,33800,3380
339,Martinez,1,33900,3390
340,Martin,4,34000,3400
341,Davis,5,34100,3410
342,Thomas,5,34200,3420
343,Jackson,4,34300,3430
344,Martinez,5,34400,3440
345,Williams,4,34500,3450
346,Miller,3,34600,3460
347,Moore,3,34700,3470
348,Williams,3,34800,3480
349,Thompson,2,34900,3490
350,Garcia,0,35000,3500
351,Johnson,4,35100,3510
352,Anderson,2,35200,3520
353,Garcia,4,35300,3530
354,Smith,4,35400,3540
355,Davis,4,35500,3550
356,Garcia,1,35600,3560
357,Williams,4,35700,3570
358,White,2,35800,3580
359,Smith,2,35900,3590
360,Martin,4,36000,3600
361,Thompson,2,36100,3610
362,Anderson,1,36200,3620
363,Wilson,5,36300,3630
364,Harris,4,36400,3640
365,Moore,5,36500,3650
366,Harris,1,36600,3660
367,Miller,5,36700,3670
368,Moore,4,36800,3680
369,Miller,5,36900,3690
370,Martin,2,37000,3700
371,Johnson,5,37100,3710
372,Moore,4,37200,3720
373,Miller,4,37300,3730
374,,5,37400,3740
375,Williams,0,37500,3750
376,Davis,0,37600,3760
377,Martin,4,37700,3770
378,Wilson,4,37800,3780
379,Brown,1,37900,3790
380,Thomas,4,38000,3800
381,Davis,2,38100,3810
382,Brown,3,38200,3820
383,Jackson,4,38300,3830
384,Brown,4,38400,3840
385,Miller,4,38500,3850
386,Anderson,1,38600,3860
387,White,2,38700,3870
388,Williams,1,38800,3880
389,Thompson,2,38900,3890
390,Johnson,2,39000,3900
391,Smith,2,39100,3910
392,Jackson,0,39200,3920
393,Brown,3,39300,3930
394,Martin,4,39400,3940
395,Moore,3,39500,3950
396,White,0,39600,3960
397,Martin,4,39700,3970
398,Moore,0,39800,3980
399,Wilson,3,39900,3990
400,Thomas,3,40000,4000
401,Thompson,4,40100,4010
402,Wilson,1,40200,4020
403,Wilson,1,40300,4030
404,Anderson,2,40400,4040
405,White,3,40500,4050
406,Miller,5,40600,4060
407,Smith,4,40700,4070
408,Harris,1,40800,4080
409,Thomas,4,40900,4090
410,Thompson,5,41000,4100
411,Moore,1,41100,4110
412,Harris,3,41200,4120
413,Moore,2,41300,4130
414,Miller,4,41400,4140
415,Brown,1,41500,4150
416,Johnson,1,41600,4160
417,Williams,2,41700,4170
418,Davis,3,41800,4180
419,Miller,1,41900,4190
420,Jones,2,42000,4200
421,Taylor,1,42100,4210
422,Johnson,2,42200,4220
423,Harris,1,42300,4230
424,Jackson,3,42400,4240
425,Wilson,3,42500,4250
426,Thompson,1,42600,4260
427,Miller,5,42700,4270
428,Brown,2,42800,4280
429,Anderson,4,42900,4290
430,Anderson,3,43000,4300
431,Thomas,1,43100,4310
432,White,4,43200,4320
433,Jackson,4,43300,4330
434,Jackson,1,43400,4340
435,Wilson,3,43500,4350
436,Thomas,3,43600,4360
437,Moore,5,43700,4370
438,,0,43800,4380
439,Johnson,1,43900,4390
440,Smith,5,44000,4400
441,Smith,1,44100,4410
442,White,0,44200,4420
443,Jackson,2,44300,4430
444,Jackson,2,44400,4440
445,Moore,5,44500,4450
446,Jones,5,44600,4460
447,Jones,2,44700,4470
448,Thomas,5,44800,4480
449,Moore,5,44900,4490
450,Davis,3,45000,4500
451,Martin,1,45100,4510
452,Brown,2,45200,4520
453,Davis,1,45300,4530
454,Taylor,2,45400,4540
455,Johnson,1,45500,4550
456,Jackson,1,45600,4560
457,Brown,2,45700,4570
458,Martin,2,45800,4580
459,Davis,5,45900,4590
460,Thomas,2,46000,4600
461,Jones,1,46100,4610
462,Harris,3,46200,4620
463,Moore,3,46300,4630
464,Miller,3,46400,4640
465,Thompson,1,46500,4650
466,White,4,46600,4660
467,Davis,3,46700,4670
468,Taylor,2,46800,4680
469,Martin,3,46900,4690
470,Anderson,4,47000,4700
471,Smith,0,47100,4710
472,Smith,1,47200,4720
473,Martin,1,47300,4730
474,Miller,2,47400,4740
475,Jones,3,47500,4750
476,White,1,47600,4760
477,Johnson,1,47700,4770
478,Smith,1,47800,4780
479,Taylor,0,47900,4779
480,Wilson,3,48000,4800
481,Martin,1,48100,4810
482,Wilson,1,48200,4820
483,Brown,5,48300,4830
484,Thomas,2,48400,4840
485,Harris,4,48500,4850
486,Martin,1,48600,4860
487,Garcia,3,48700,4870
488,Jackson,3,48800,4880
489,Wilson,2,48900,4890
490,Taylor,1,49000,4900
491,Thompson,3,49100,4910
492,Jackson,1,49200,4920
493,Davis,0,49300,4930
494,,1,49400,4940
495,White,4,49500,4950
496,Anderson,4,49600,4960
497,Martin,0,49700,4970
498,Smith,3,49800,4980
499,Davis,1,49900,4990
500,Thompson,3,50000,5000
501,Jones,4,50100,5010
502,Moore,4,50200,5020
503,Brown,5,50300,5030
504,,3,50400,5040
505,Johnson,4,50500,5050
506,Wilson,3,50600,5060
507,Jones,5,50700,5070
508,Brown,3,50800,5080
509,Jones,0,50900,5090
510,Williams,2,51000,5100
511,Jones,2,51100,5110
512,Jackson,3,51200,5120
513,Harris,4,51300,5130
514,Thompson,0,51400,5140
515,Johnson,1,51500,5150
516,Jones,2,51600,5160
517,Williams,3,51700,5170
518,Johnson,2,51800,5180
519,Thomas,4,51900,5190
520,Taylor,1,52000,5200
521,Jackson,1,52100,5210
522,Jones,0,52200,5220
523,Martinez,3,52300,5230
524,Miller,5,52400,5240
525,Jackson,2,52500,5250
526,Taylor,0,52600,5260
527,Martin,1,52700,5270
528,Brown,2,52800,5280
529,Johnson,4,52900,5290
530,Harris,0,53000,5300
531,Smith,3,53100,5310
532,Davis,3,53200,5320
533,Thompson,1,53300,5330
534,Johnson,1,53400,5340
535,Brown,3,53500,5350
536,Brown,3,53600,5360
537,Taylor,2,53700,5370
538,Martin,2,53800,5380
539,Martin,3,53900,5390
540,Davis,0,54000,5400
541,Martinez,1,54100,5410
542,Martin,2,54200,5420
543,Miller,1,54300,5430
544,Moore,5,54400,5440
545,Moore,3,54500,5450
546,Jackson,2,54600,5460
547,Harris,2,54700,5470
548,,3,54800,5480
549,Thomas,4,54900,5490
550,Johnson,3,55000,5500
551,White,3,55100,5510
552,Taylor,3,55200,5509
553,Garcia,5,55300,5530
554,Miller,0,55400,5540
555,Anderson,3,55500,5550
556,White,0,55600,5560
557,Wilson,2,55700,5570
558,Smith,1,55800,5580
559,Davis,0,55900,5590
560,Johnson,4,56000,5600
561,Johnson,2,56100,5610
562,Harris,3,56200,5620
563,Thomas,2,56300,5630
564,Taylor,5,56400,5640
565,Miller,1,56500,5650
566,Martinez,4,56600,5660
567,Thomas,0,56700,5670
568,White,3,56800,5680
569,Thompson,1,56900,5690
570,Brown,2,57000,5700
571,Garcia,1,57100,5710
572,Martin,4,57200,5720
573,Garcia,5,57300,5730
574,Moore,2,57400,5740
575,Garcia,2,57500,5750
576,Jackson,1,57600,5760
577,Smith,0,57700,5770
578,,5,57800,5780
579,Moore,2,57900,5790
580,White,4,58000,5800
581,Johnson,2,58100,5810
582,Williams,1,58200,5820
583,Smith,1,58300,5830
584,Davis,0,58400,5840
585,Davis,5,58500,5850
586,Taylor,1,58600,5860
587,Harris,1,58700,5870
588,Thomas,4,58800,5880
589,White,0,58900,5890
590,Moore,5,59000,5900
591,Moore,1,59100,5910
592,Jackson,0,59200,5920
593,Brown,2,59300,5930
594,,1,59400,5940
595,Thompson,3,59500,5950
596,Anderson,4,59600,5960
597,Jackson,2,59700,5970
598,Moore,5,59800,5980
599,Harris,1,59900,5990
600,Johnson,2,60000,6000
601,Anderson,2,60100,6010
602,White,4,60200,6020
603,Johnson,0,60300,6030
604,Taylor,4,60400,6040
605,Harris,1,60500,6050
606,Taylor,2,60600,6060
607,Thomas,3,60700,6070
608,Miller,3,60800,6080
609,Harris,1,60900,6090
610,Thomas,3,61000,6100
611,Thompson,4,61100,6110
612,Martin,5,61200,6120
613,Williams,5,61300,6130
614,Taylor,1,61400,6140
615,Thompson,2,61500,6150
616,Thomas,4,61600,6160
617,Williams,4,61700,6170
618,Brown,4,61800,6180
619,Brown,1,61900,6190
620,Thomas,5,62000,6200
621,Moore,1,62100,6210
622,Jackson,2,62200,6220
623,Williams,0,62300,6230
624,Williams,0,62400,6240
625,Anderson,2,62500,6250
626,Brown,3,62600,6260
627,Thompson,0,62700,6270
628,Taylor,1,62800,6280
629,Johnson,1,62900,6290
630,Smith,2,63000,6300
631,Thomas,5,63100,6310
632,Thompson,2,63200,6320
633,Jones,5,63300,6330
634,Taylor,4,63400,6340
635,Thompson,5,63500,6350
636,Smith,4,63600,6360
637,Thompson,3,63700,6370
638,Martin,0,63800,6380
639,Brown,4,63900,6390
640,Jackson,1,64000,6400
641,,3,64100,6410
642,White,1,64200,6420
643,Williams,3,64300,6430
644,Jackson,3,64400,6440
645,Wilson,4,64500,6450
646,Thomas,3,64600,6460
647,Anderson,4,64700,6470
648,Anderson,1,64800,6480
649,Taylor,5,64900,6490
650,Thompson,2,65000,6500
651,Brown,2,65100,6510
652,Jones,5,65200,6520
653,Thompson,3,65300,6530
654,Smith,3,65400,6540
655,Taylor,3,65500,6550
656,Thompson,2,65600,6560
657,Harris,4,65700,6570
658,Johnson,2,65800,6580
659,Harris,2,65900,6590
660,Anderson,3,66000,6600
661,Thomas,1,66100,6610
662,Wilson,0,66200,6620
663,Anderson,1,66300,6630
664,Garcia,4,66400,6640
665,Jackson,3,66500,6650
666,Thompson,1,66600,6660
667,Martin,2,66700,6670
668,Moore,5,66800,6680
669,Garcia,4,66900,6690
670,Davis,3,67000,6700
671,Taylor,4,67100,6710
672,White,4,67200,6720
673,Martin,5,67300,6730
674,,5,67400,6740
675,Thomas,1,67500,6750
676,Brown,3,67600,6760
677,Harris,1,67700,6770
678,Miller,3,67800,6780
679,Moore,2,67900,6790
680,Thompson,2,68000,6800
681,Moore,1,68100,6810
682,Moore,5,68200,6820
683,Martin,1,68300,6830
684,Martin,4,68400,6840
685,Moore,3,68500,6850
686,Thompson,5,68600,6860
687,Thompson,2,68700,6870
688,Taylor,0,68800,6880
689,Thompson,3,68900,6890
690,Garcia,3,69000,6900
691,Thomas,0,69100,6910
692,Jones,2,69200,6920
693,,3,69300,6930
694,Jones,5,69400,6940
695,Moore,4,69500,6950
696,Anderson,2,69600,6960
697,Anderson,0,69700,6970
698,Moore,4,69800,6980
699,Anderson,2,69900,6990
700,Moore,5,70000,7000
701,Garcia,2,70100,7010
702,White,4,70200,7020
703,Williams,2,70300,7030
704,Thompson,2,70400,7040
705,Garcia,3,70500,7050
706,Jones,0,70600,7060
707,Harris,1,70700,7070
708,Taylor,1,70800,7080
709,Harris,2,70900,7090
710,Jones,2,71000,7100
711,Thompson,1,71100,7110
712,Taylor,2,71200,7120
713,Thomas,5,71300,7130
714,Taylor,0,71400,7140
715,Garcia,5,71500,7150
716,Smith,5,71600,7160
717,Jones,1,71700,7170
718,Anderson,1,71800,7180
719,Miller,3,71900,7190
720,Anderson,2,72000,7200
721,Smith,4,72100,7210
722,Jones,3,72200,7220
723,Taylor,4,72300,7230
724,Jackson,1,72400,7240
725,Garcia,0,72500,7250
726,Davis,1,72600,7260
727,Williams,4,72700,7270
728,Martinez,1,72800,7280
729,Thompson,5,72900,7290
730,White,4,73000,7300
731,Johnson,1,73100,7310
732,Jones,5,73200,7320
733,Davis,1,73300,7330
734,Thomas,4,73400,7329
735,Smith,4,73500,7350
736,Davis,3,73600,7360
737,Harris,0,73700,7370
738,Taylor,3,73800,7380
739,Martinez,1,73900,7390
740,Thompson,5,74000,7400
741,Davis,2,74100,7410
742,Davis,4,74200,7420
743,Johnson,1,74300,7430
744,Wilson,0,74400,7440
745,Davis,1,74500,7450
746,Garcia,4,74600,7460
747,Miller,1,74700,7470
748,Thompson,4,74800,7480
749,Anderson,2,74900,7490
750,Thomas,5,75000,7500
751,Davis,4,75100,7510
752,Garcia,4,75200,7520
753,Harris,4,75300,7530
754,White,1,75400,7540
755,Williams,4,75500,7550
756,Moore,3,75600,7560
757,Moore,1,75700,7570
758,Harris,3,75800,7580
759,Martin,3,75900,7590
760,Thompson,4,76000,7600
761,Smith,4,76100,7610
762,White,5,76200,7620
763,Davis,0,76300,7630
764,Moore,1,76400,7640
765,Miller,0,76500,7650
766,Anderson,4,76600,7660
767,Wilson,2,76700,7670
768,Miller,1,76800,7680
769,Harris,2,76900,7690
770,Thompson,0,77000,7700
771,Brown,2,77100,7710
772,Garcia,2,77200,7720
773,Thompson,3,77300,7730
774,Wilson,5,77400,7740
775,Garcia,0,77500,7750
776,Anderson,2,77600,7760
777,Harris,0,77700,7770
778,Wilson,4,77800,7780
779,Taylor,0,77900,7790
780,Johnson,3,78000,7800
781,Wilson,2,78100,7810
782,Davis,1,78200,7820
783,Moore,1,78300,7830
784,Smith,2,78400,7840
785,Davis,5,78500,7850
786,Thomas,0,78600,7860
787,Martin,1,78700,7870
788,Miller,4,78800,7880
789,Thomas,0,78900,7890
790,Moore,5,79000,7900
791,Garcia,1,79100,7910
792,Anderson,3,79200,7920
793,Martin,4,79300,7930
794,Brown,1,79400,7940
795,Taylor,4,79500,7950
796,White,2,79600,7960
797,Harris,3,79700,7970
798,Anderson,3,79800,7980
799,,2,79900,7990
800,Davis,5,80000,8000
801,Garcia,5,80100,8010
802,Williams,2,80200,8020
803,Jones,5,80300,8030
804,White,3,80400,8040
805,Moore,5,80500,8050
806,Anderson,2,80600,8060
807,Martinez,5,80700,8070
808,Garcia,2,80800,8080
809,Smith,1,80900,8090
810,Jackson,2,81000,8100
811,Anderson,4,81100,8110
812,Brown,5,81200,8120
813,Anderson,4,81300,8130
814,Garcia,4,81400,8140
815,White,3,81500,8150
816,Harris,3,81600,8160
817,Garcia,0,81700,8170
818,Smith,4,81800,8180
819,Thomas,4,81900,8190
820,Jones,1,82000,8200
821,White,0,82100,8210
822,Miller,3,82200,8220
823,Thompson,1,82300,8230
824,Smith,1,82400,8240
825,Moore,3,82500,8250
826,Miller,3,82600,8260
827,Thomas,5,82700,8270
828,Jackson,0,82800,8280
829,Moore,5,82900,8290
830,White,2,83000,8300
831,Thompson,3,83100,8310
832,Davis,4,83200,8320
833,Taylor,4,83300,8330
834,Williams,0,83400,8340
835,Anderson,1,83500,8350
836,Davis,2,83600,8360
837,,5,83700,8370
838,Anderson,3,83800,8380
839,Thompson,2,83900,8390
840,Garcia,1,84000,8400
841,Johnson,1,84100,8410
842,Martinez,4,84200,8420
843,Smith,5,84300,8430
844,White,3,84400,8440
845,Brown,4,84500,8450
846,Miller,5,84600,8460
847,Johnson,3,84700,8470
848,Martinez,5,84800,8480
849,White,1,84900,8490
850,Jackson,2,85000,8500
851,Thomas,4,85100,8510
852,Martin,1,85200,8520
853,Martinez,3,85300,8530
854,Davis,0,85400,8540
855,Smith,2,85500,8550
856,Williams,3,85600,8560
857,Anderson,4,85700,8570
858,Anderson,3,85800,8580
859,Smith,1,85900,8590
860,Anderson,3,86000,8600
861,Miller,1,86100,8610
862,Smith,1,86200,8620
863,Anderson,3,86300,8630
864,Jackson,1,86400,8640
865,Johnson,0,86500,8650
866,Jackson,4,86600,8660
867,Harris,1,86700,8670
868,Thompson,4,86800,8680
869,Brown,3,86900,8690
870,Johnson,3,87000,8700
871,Brown,2,87100,8710
872,Jones,5,87200,8720
873,,0,87300,8730
874,Taylor,2,87400,8740
875,Harris,4,87500,8750
876,White,4,87600,8760
877,Johnson,1,87700,8770
878,Martin,4,87800,8780
879,White,0,87900,8790
880,Jones,4,88000,8800
881,Martin,5,88100,8810
882,Thompson,3,88200,8820
883,Jones,1,88300,8830
884,Moore,1,88400,8840
885,Williams,0,88500,8850
886,Taylor,3,88600,8860
887,Martin,3,88700,8870
888,Anderson,3,88800,8880
889,Martin,3,88900,8890
890,White,0,89000,8900
891,Jackson,0,89100,8910
892,Thompson,3,89200,8920
893,Jones,2,89300,8930
894,Miller,0,89400,8940
895,Moore,1,89500,8950
896,Williams,0,89600,8960
897,,2,89700,8970
898,Garcia,1,89800,8980
899,Harris,3,89900,8990
900,Miller,1,90000,9000
901,White,0,90100,9010
902,Thomas,2,90200,9020
903,Martinez,1,90300,9030
904,Johnson,3,90400,9040
905,White,2,90500,9050
906,Jackson,2,90600,9060
907,Brown,5,90700,9070
908,Davis,2,90800,9080
909,Martin,4,90900,9090
910,Miller,3,91000,9100
911,White,2,91100,9110
912,Wilson,1,91200,9120
913,Martin,4,91300,9130
914,Davis,4,91400,9140
915,Garcia,2,91500,9150
916,Brown,5,91600,9160
917,,1,91700,9170
918,Davis,2,91800,9180
919,Miller,4,91900,9190
920,Davis,1,92000,9200
921,Smith,4,92100,9210
922,,0,92200,9220
923,Taylor,2,92300,9230
924,Thomas,3,92400,9240
925,Williams,2,92500,9250
926,Garcia,3,92600,9260
927,Smith,4,92700,9270
928,Smith,4,92800,9280
929,Martin,3,92900,9290
930,White,2,93000,9300
931,Jones,4,93100,9310
932,Anderson,2,93200,9320
933,Thompson,2,93300,9330
934,Martin,0,93400,9340
935,Thomas,5,93500,9350
936,Thomas,3,93600,9360
937,Martinez,0,93700,9370
938,Brown,0,93800,9380
939,Taylor,0,93900,9390
940,Wilson,2,94000,9400
941,Moore,5,94100,9410
942,Harris,2,94200,9420
943,Miller,0,94300,9430
944,Smith,3,94400,9440
945,Johnson,3,94500,9450
946,Williams,2,94600,9460
947,Taylor,0,94700,9470
948,Wilson,4,94800,9480
949,White,4,94900,9490
950,Martin,2,95000,9500
951,Davis,3,95100,9510
952,Harris,1,95200,9520
953,Johnson,4,95300,9530
954,Garcia,0,95400,9540
955,Jones,2,95500,9550
956,Miller,5,95600,9560
957,Wilson,2,95700,9570
958,Williams,2,95800,9580
959,Williams,2,95900,9590
960,Moore,3,96000,9600
961,Wilson,1,96100,9610
962,Miller,4,96200,9620
963,Jackson,1,96300,9630
964,Harris,0,96400,9640
965,Garcia,2,96500,9650
966,Wilson,2,96600,9660
967,Moore,1,96700,9670
968,White,3,96800,9680
969,Taylor,5,96900,9690
970,Garcia,5,97000,9700
971,,3,97100,9710
972,Brown,3,97200,9720
973,Jackson,5,97300,9730
974,Williams,0,97400,9740
975,Davis,4,97500,9750
976,,5,97600,9760
977,Jones,3,97700,9770
978,Wilson,4,97800,9780
979,Jones,5,97900,9790
980,Anderson,2,98000,9800
981,Jones,0,98100,9810
982,Davis,5,98200,9820
983,Thomas,2,98300,9830
984,Williams,3,98400,9840
985,Williams,0,98500,9850
986,Martinez,2,98600,9860
987,Brown,3,98700,9870
988,,2,98800,9880
